,row_id,score
0,2,0.7875
1,3,0.6375
2,4,0.5375
3,5,0.525
4,43,0.5875
5,59,0.525
6,60,0.625
7,61,0.9
8,62,0.625
9,63,0.575
10,64,0.5125
11,65,0.6125
12,66,0.5875
13,67,0.4
14,93,0.575
15,94,0.65
16,95,0.6625
17,107,0.775
18,108,0.7
19,109,0.8
20,110,0.5875
21,111,0.8
22,112,0.475
23,113,0.7875
24,114,0.6625
25,117,0.4416666666666666
26,118,0.375
27,129,0.7
28,136,0.7875
29,137,0.7875
30,138,0.709375
31,139,0.7125
32,140,0.775
33,141,0.6875
34,142,0.7
35,143,0.8125
36,144,0.6
37,145,0.8625
38,146,0.8125
39,187,0.325
40,188,0.35
41,189,0.6625
42,190,0.7
43,191,0.7875
44,192,0.7625
45,193,0.4625
46,194,0.425
47,195,0.2375
48,196,0.775
49,197,0.8125
50,198,0.7375
51,199,0.875
52,200,0.675
53,201,0.3375
54,202,0.825
55,231,0.6375
56,232,0.48125
57,260,0.5375
58,261,0.65
59,262,0.66875
60,385,0.55
61,386,0.825
62,398,0.45
63,399,0.5
64,400,0.8375
65,410,0.225
66,411,0.5375
67,412,0.2375
68,413,0.55
69,414,0.7
70,415,0.8875
71,416,0.65
72,417,0.6625
73,418,0.775
74,419,0.65
75,420,0.7125
76,421,0.675
77,422,0.7625
78,423,0.5875
79,424,0.7625
80,425,0.6125
81,426,0.5125
82,427,0.4875
83,428,0.725
84,429,0.55
85,430,0.4375
86,431,0.7125
87,432,0.7125
88,433,0.53125
89,434,0.6375
90,435,0.5791666666666667
91,436,0.7125
92,437,0.325
93,438,0.4666666666666666
94,442,0.50625
95,443,0.255
96,444,0.5
97,445,0.2125
98,446,0.4
99,447,0.5375
100,448,0.5375
101,449,0.5
102,450,0.4
103,451,0.59375
104,452,0.5
105,453,0.425
106,454,0.5875
107,455,0.4625
108,456,0.45
109,457,0.45
110,458,0.6375
111,459,0.4625
112,460,0.7875
113,461,0.6625
114,462,0.65
115,463,0.5125
116,464,0.475
117,465,0.55
118,466,0.55
119,467,0.775
120,468,0.475
121,469,0.425
122,470,0.3875
123,471,0.6625
124,472,0.2625
125,473,0.25
126,474,0.25
127,475,0.65
128,476,0.2625
129,477,0.8
130,478,0.85
131,479,0.475
132,480,0.825
133,481,0.4125
134,482,0.625
135,483,0.825
136,484,0.7
137,485,0.65
138,486,0.7625
